"gene_name","Ensembl_ID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ADORA2B","ENSG00000170425.4",39.658342358397,-0.497126027394496,0.330792318722854,-1.50283425356984,0.132881790513491,0.909061987469872
"GIPR","ENSG00000010310.9",117.732121487936,-0.517093500733272,0.369932214962527,-1.39780608397582,0.162171306894997,0.933538571393079
"ADORA2A","ENSG00000128271.22",1283.0263735379,0.143124039922897,0.10330629561525,1.38543386025516,0.16591984334961,0.936352923866301
"SYT6","ENSG00000134207.17",2.45248251684728,-1.70557845944881,1.31796987414649,-1.29409517842988,0.195632546796917,0.9568841258369
"DMXL2","ENSG00000104093.14",6871.96417961524,-0.207979669077038,0.182409370612859,-1.14018083817881,0.254210968888585,0.993674067006476
"CYTH2","ENSG00000105443.16",2225.7105381166,-0.0916543007946755,0.113168009624592,-0.809895845113091,0.418000040018233,0.999755084243879
"VIPR2","ENSG00000106018.14",26.1887440386847,0.415007400633398,0.422806919261715,0.981553001445823,0.326320111029251,0.999755084243879
"MADD","ENSG00000110514.19",3349.24984407725,0.0301217471441887,0.106563160348044,0.282665670254228,0.777433134586652,0.999755084243879
"DENND1A","ENSG00000119522.17",2887.71351133664,-0.152650372270096,0.179659519263002,-0.849664815403591,0.395511465294705,0.999755084243879
"ADM2","ENSG00000128165.9",82.2643272628693,0.13970749053529,0.196575242385151,0.710707456545113,0.477265538022659,0.999755084243879
"HTR6","ENSG00000158748.4",40.4596377447284,-0.104562871797171,0.644510341508571,-0.162236142793964,0.871119898965961,0.999755084243879
"CALCB","ENSG00000175868.14",10.113591529111,0.228049518956946,0.487879681618219,0.467429834750531,0.640192381300868,0.999755084243879
"SMCR8","ENSG00000176994.11",6057.93532684819,0.0180894687398606,0.0838093005237242,0.215840827054033,0.82911182292892,0.999755084243879
