"gene_name","Ensembl_ID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LRRC37A4P","ENSG00000214425.9",2375.92591510725,5.83125810939886,0.592883416915822,9.83542116885821,7.92353715486373e-23,1.36332380286585e-18
"U2AF1","ENSG00000160201.12",1843.62108456653,13.8028370623443,2.7554533735165,5.00927985028075,5.46340819097768e-07,0.00235008503334905
"TMEM184A","ENSG00000164855.16",25.7385465462514,-9.4473454232122,1.85595516348796,-5.09028752906805,3.57520974681258e-07,0.00235008503334905
"TVP23C-CDRT4","ENSG00000259024.6",207.181352625,10.5060299748006,2.08167580380771,5.04690978085224,4.49013244344368e-07,0.00235008503334905
"KMO","ENSG00000117009.12",240.374405906897,-1.6091184779262,0.32863473171857,-4.89637376278348,9.76213098882347e-07,0.00335934451587393
"GOLGA8O","ENSG00000206127.11",352.308431048317,1.939125308167,0.413619607572114,4.6881851649862,2.75638564448834e-06,0.00790439523317771
"PMS2P6","ENSG00000174384.9",131.808353370163,9.78618071980628,2.15676390670877,4.53743717120157,5.69419869762617e-06,0.0139963403987651
"RNF217","ENSG00000146373.17",279.781167278662,1.58233405867595,0.351952582140347,4.4958728504085,6.9285132267101e-06,0.0149014998223467
"PDCD1","ENSG00000188389.11",170.334789309546,2.71199174733196,0.608726520370809,4.455189081757,8.38192886924939e-06,0.016024385347145
"CORO7-PAM16","ENSG00000103426.12",93.0550637890854,9.53415266579706,2.17174090164711,4.39009674614779,1.13300241378004e-05,0.0194944395314994
"SMG1P2","ENSG00000205534.6",296.736025330545,1.80632462471928,0.417436163487088,4.32718768213561,1.51025268772373e-05,0.0236230979499768
"TUBB4BP2","ENSG00000224802.2",42.4321621461044,3.80781048424119,0.904878191544871,4.208091784973,2.57536263799039e-05,0.0369264079577189
"PLAAT3","ENSG00000176485.13",143.914996163887,2.0697240180757,0.498022358973579,4.15588573641831,3.24029746305249e-05,0.0428865831917548
